"X","V1","V2","V3","End","Interval"
485344,"chr13","19390192_19390490_AluSx4_SINE",81,19390490,2
485346,"chr13","19401173_19401500_AluSq2_SINE",80,19401500,2
485350,"chr13","19428580_19428878_AluY_SINE",82,19428878,2
485356,"chr13","19456519_19456829_AluSc_SINE",81,19456829,2
485361,"chr13","19471973_19472278_AluSc5_SINE",81,19472278,2
485362,"chr13","19476229_19476537_AluSg_SINE",81,19476537,2
485364,"chr13","19489701_19490009_AluSq2_SINE",81,19490009,2
485374,"chr13","19574969_19575278_AluY_SINE",84,19575278,3
485377,"chr13","19603623_19603917_AluSc5_SINE",81,19603917,3
485413,"chr13","19707883_19708174_AluJr_SINE",81,19708174,3
485420,"chr13","19717967_19718266_AluY_SINE",84,19718266,3
485422,"chr13","19719825_19720122_AluSg_SINE",81,19720122,3
485424,"chr13","19721471_19721769_AluSx4_SINE",81,19721769,3
485426,"chr13","19731347_19731645_AluSz_SINE",81,19731645,3
485431,"chr13","19742495_19742796_AluSx1_SINE",81,19742796,3
485457,"chr13","19778948_19779252_AluY_SINE",84,19779252,3
485468,"chr13","19802484_19802791_AluSq2_SINE",81,19802791,3
485470,"chr13","19803979_19804250_AluSx_SINE",81,19804250,3
485474,"chr13","19836533_19836837_AluSg_SINE",79,19836837,3
485481,"chr13","19926652_19926952_AluSg_SINE",81,19926952,3
485498,"chr13","19954833_19955155_AluSx_SINE",81,19955155,3
485511,"chr13","20000841_20001143_AluSz6_SINE",81,20001143,3
485528,"chr13","20049362_20049665_AluSx1_SINE",81,20049665,4
485530,"chr13","20065684_20065968_AluSx3_SINE",82,20065968,4
485542,"chr13","20111373_20111673_AluSq2_SINE",80,20111673,4
485543,"chr13","20111735_20112044_AluSx1_SINE",83,20112044,4
485547,"chr13","20114451_20114744_AluSx_SINE",81,20114744,4
485557,"chr13","20136089_20136422_AluY_SINE",89,20136422,4
485571,"chr13","20162976_20163284_AluSx3_SINE",90,20163284,4
485579,"chr13","20182495_20182789_AluSz_SINE",80,20182789,4
485584,"chr13","20194147_20194450_AluSx_SINE",81,20194450,4
485588,"chr13","20198114_20198407_AluSx1_SINE",81,20198407,4
485621,"chr13","20289896_20290182_AluY_SINE",83,20290182,4
485632,"chr13","20308659_20308968_AluSx1_SINE",81,20308968,4
485638,"chr13","20312766_20313066_AluY_SINE",82,20313066,4
485647,"chr13","20319759_20319989_AluSc8_SINE",82,20319989,4
485667,"chr13","20334394_20334683_AluSx_SINE",81,20334683,4
485670,"chr13","20336969_20337257_AluSx3_SINE",80,20337257,4
485699,"chr13","20358660_20358924_AluSx3_SINE",82,20358924,4
485701,"chr13","20359985_20360290_AluY_SINE",78,20360290,4
485704,"chr13","20361230_20361534_AluY_SINE",82,20361534,4
485706,"chr13","20362266_20362555_AluSx_SINE",81,20362555,4
485709,"chr13","20363356_20363659_AluSx1_SINE",80,20363659,4
485726,"chr13","20374210_20374509_AluSc_SINE",81,20374509,4
485728,"chr13","20375669_20375965_AluSz_SINE",81,20375965,4
485729,"chr13","20376326_20376611_AluSq_SINE",81,20376611,4
485733,"chr13","20378549_20378846_AluY_SINE",85,20378846,4
485740,"chr13","20382909_20383200_AluSz_SINE",65,20383200,4
485746,"chr13","20387362_20387670_AluSx4_SINE",82,20387670,4
485759,"chr13","20396656_20396954_AluSz_SINE",80,20396954,4
485764,"chr13","20401889_20402181_AluYc_SINE",82,20402181,4
485770,"chr13","20405654_20405954_AluSx_SINE",81,20405954,4
485792,"chr13","20422679_20422974_AluSz_SINE",82,20422974,4
485818,"chr13","20450468_20450762_AluSz_SINE",81,20450762,4
485825,"chr13","20455842_20456142_AluSz_SINE",78,20456142,4
485840,"chr13","20470315_20470583_AluSx_SINE",81,20470583,4
485841,"chr13","20470614_20470927_AluY_SINE",83,20470927,4
485846,"chr13","20474163_20474451_AluSz6_SINE",79,20474451,4
485847,"chr13","20474927_20475078_AluY_SINE",81,20475078,4
485857,"chr13","20487582_20487886_AluSx1_SINE",81,20487886,4
485858,"chr13","20489180_20489398_AluSp_SINE",80,20489398,4
485860,"chr13","20490004_20490296_AluY_SINE",84,20490296,4
485864,"chr13","20493805_20494112_AluSq2_SINE",78,20494112,4
485887,"chr13","20515167_20515473_AluSz_SINE",81,20515473,4
485890,"chr13","20519409_20519682_AluSz6_SINE",81,20519682,4
485892,"chr13","20521163_20521499_AluY_SINE",82,20521499,4
485897,"chr13","20527542_20527847_AluSc_SINE",82,20527847,4
485906,"chr13","20545402_20545709_AluSp_SINE",80,20545709,5
485909,"chr13","20547528_20547844_AluSx_SINE",81,20547844,5
485919,"chr13","20560961_20561280_AluSz_SINE",83,20561280,5
485935,"chr13","20585882_20586187_AluSz_SINE",82,20586187,5
485939,"chr13","20592938_20593250_AluSx1_SINE",81,20593250,5
485946,"chr13","20611353_20611653_AluSx_SINE",81,20611653,5
485956,"chr13","20637640_20637924_AluSq2_SINE",81,20637924,5
485957,"chr13","20644655_20644948_AluSc_SINE",81,20644948,5
485981,"chr13","20691946_20692271_AluSx1_SINE",81,20692271,5
485982,"chr13","20696374_20696683_AluSc_SINE",81,20696683,5
485987,"chr13","20708493_20708789_AluJb_SINE",81,20708789,5
485999,"chr13","20757652_20757960_AluSz_SINE",83,20757960,5
486013,"chr13","20842596_20842897_AluY_SINE",86,20842897,5
486015,"chr13","20843908_20844215_AluSx3_SINE",82,20844215,5
486017,"chr13","20849220_20849527_AluY_SINE",84,20849527,5
486043,"chr13","20988031_20988346_AluSx3_SINE",82,20988346,5
486047,"chr13","21018867_21019143_AluSz_SINE",82,21019143,5
486049,"chr13","21023026_21023300_AluSx_SINE",81,21023300,5
486062,"chr13","21052600_21052915_AluJb_SINE",82,21052915,6
486064,"chr13","21054243_21054534_AluSq2_SINE",81,21054534,6
486069,"chr13","21059519_21059835_AluSz_SINE",87,21059835,6
486083,"chr13","21081775_21082087_AluY_SINE",82,21082087,6
486094,"chr13","21094962_21095271_AluSc8_SINE",81,21095271,6
486099,"chr13","21103930_21104224_AluSx1_SINE",81,21104224,6
486118,"chr13","21127949_21128240_AluSc_SINE",81,21128240,6
486119,"chr13","21128384_21128707_AluY_SINE",84,21128707,6
486121,"chr13","21130149_21130411_AluSz_SINE",81,21130411,6
486122,"chr13","21130730_21131025_AluSx1_SINE",84,21131025,6
486151,"chr13","21192988_21193266_AluY_SINE",82,21193266,6
486155,"chr13","21200187_21200497_AluY_SINE",82,21200497,6
486157,"chr13","21208562_21208894_AluSx3_SINE",82,21208894,6
486158,"chr13","21213919_21214228_AluSx3_SINE",82,21214228,6
486164,"chr13","21229290_21229602_AluSc_SINE",81,21229602,6
486181,"chr13","21269503_21269798_AluY_SINE",83,21269798,6
486193,"chr13","21297787_21298089_AluY_SINE",82,21298089,6
486196,"chr13","21301062_21301358_AluSq2_SINE",81,21301358,6
486206,"chr13","21320297_21320589_AluSg_SINE",81,21320589,6
486217,"chr13","21339118_21339425_AluSx3_SINE",82,21339425,6
486234,"chr13","21380680_21380989_AluSc_SINE",81,21380989,6
486235,"chr13","21385420_21385726_AluSz6_SINE",81,21385726,6
486244,"chr13","21419028_21419320_AluSx1_SINE",83,21419320,6
486262,"chr13","21455413_21455708_AluY_SINE",84,21455708,6
486263,"chr13","21455964_21456278_AluSx_SINE",83,21456278,6
486264,"chr13","21457906_21458204_AluSp_SINE",79,21458204,6
486287,"chr13","21474244_21474533_AluSx3_SINE",80,21474533,6
486304,"chr13","21488983_21489284_AluYf5_SINE",84,21489284,6
486308,"chr13","21491459_21491772_AluSg4_SINE",82,21491772,6
486311,"chr13","21493308_21493618_AluSq2_SINE",85,21493618,6
486324,"chr13","21504997_21505306_AluSq2_SINE",81,21505306,6
486327,"chr13","21506507_21506780_AluY_SINE",82,21506780,6
486330,"chr13","21507746_21508055_AluSg4_SINE",84,21508055,6
486336,"chr13","21512929_21513222_AluSx_SINE",81,21513222,6
